Processes: 1, Time: 0.000538 seconds, Integral: 3.141593
Processes: 2, Time: 0.000370 seconds, Integral: 3.141593
Processes: 3, Time: 0.000312 seconds, Integral: 3.141593
Processes: 4, Time: 0.000305 seconds, Integral: 3.141593
Processes: 5, Time: 0.000251 seconds, Integral: 3.141593
Processes: 6, Time: 0.000187 seconds, Integral: 3.141593
Processes: 7, Time: 0.000165 seconds, Integral: 3.141593
Processes: 8, Time: 0.000188 seconds, Integral: 3.141593
Processes: 9, Time: 0.000299 seconds, Integral: 3.141593
Processes: 10, Time: 0.000458 seconds, Integral: 3.141593
Processes: 11, Time: 0.000770 seconds, Integral: 3.141593
Processes: 12, Time: 0.000468 seconds, Integral: 3.141593
Processes: 13, Time: 0.000827 seconds, Integral: 3.141593
Processes: 14, Time: 0.000717 seconds, Integral: 3.141593
Processes: 15, Time: 0.000800 seconds, Integral: 3.141593
Processes: 16, Time: 0.000958 seconds, Integral: 3.141593
Processes: 17, Time: 0.001041 seconds, Integral: 3.141593
Processes: 18, Time: 0.004454 seconds, Integral: 3.141593
Processes: 19, Time: 0.006473 seconds, Integral: 3.141593
Processes: 20, Time: 0.002165 seconds, Integral: 3.141593
Processes: 21, Time: 0.014057 seconds, Integral: 3.141593
Processes: 22, Time: 0.008257 seconds, Integral: 3.141593
Processes: 23, Time: 0.017942 seconds, Integral: 3.141593
Processes: 24, Time: 0.014535 seconds, Integral: 3.141593
Processes: 25, Time: 0.025775 seconds, Integral: 3.141593
Processes: 26, Time: 0.016347 seconds, Integral: 3.141593
Processes: 27, Time: 0.009795 seconds, Integral: 3.141593
Processes: 28, Time: 0.040136 seconds, Integral: 3.141593
